ch_isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,main_group,n_onet_berufe,periode,delta_bfs,post_ki
1112,0.07745395396712033,0.07044845960517118,0.08732018456867625,1,4,2021_2022,-10.708632022408294,0
1120,0.1844079761990149,0.151123455729332,0.23307057775135803,1,1,2021_2022,6.525921378023564,0
1211,0.34573013934883406,0.2990595424836297,0.41311548090968886,1,2,2021_2022,-13.639577575506042,0
1212,0.14027751556693638,0.12170732937710331,0.16706369593840606,1,3,2021_2022,-6.75515761465475,0
1219,0.016132314374906174,0.013495448131904387,0.01997264438877462,1,9,2021_2022,-18.648159047334083,0
1221,0.03136879663500022,0.02468706083650605,0.04119259336662147,1,2,2021_2022,8.153862550750894,0
1223,0.43178006605035396,0.37845541917924685,0.508415247015918,1,2,2021_2022,-3.592689154507265,0
1311,0.027369558894973462,0.02210094932856289,0.03509007668370324,1,3,2021_2022,-35.29692861954746,0
1321,0.08766827360007595,0.07386624844669047,0.1077381310584235,1,2,2021_2022,3.1397529820185754,0
1323,0.0,0.0,0.0,1,1,2021_2022,-1.4113870250964762,0
1324,0.2570273593718578,0.21832859549578945,0.31319101652553766,1,3,2021_2022,-7.487337064694888,0
1341,0.0,0.0,0.0,1,2,2021_2022,2.7756547972159686,0
1342,0.02675317945941449,0.0214869071540835,0.034476150846762935,1,1,2021_2022,26.18797350193503,0
1344,0.0,0.0,0.0,1,1,2021_2022,-5.890547570754496,0
1345,0.0,0.0,0.0,1,1,2021_2022,13.94944688276512,0
1349,0.11861279960653433,0.13035612496119123,0.09965687733037579,1,4,2021_2022,1.3955409368489924,0
1411,0.0,0.0,0.0,1,2,2021_2022,10.210867553067098,0
1412,0.0,0.0,0.0,1,3,2021_2022,12.53527022359488,0
1420,0.0,0.0,0.0,1,2,2021_2022,-2.647019356843523,0
1431,0.021158781906950662,0.020180994205057083,0.02243517851904383,1,10,2021_2022,1.6322242873599888,0
1439,0.027270859342187263,0.02671552318600738,0.027847389092554985,1,4,2021_2022,-1.042058958618235,0
2111,0.7753864574775267,0.7211657581367761,0.8500370667448944,2,2,2021_2022,41.7684788249528,0
2112,0.6493642871831736,0.621278341367913,0.6856227436007518,2,1,2021_2022,102.19480935590548,0
2113,0.3956271632044005,0.35390863133604267,0.45502012368279404,2,4,2021_2022,9.74206240367018,0
