feature,importance,std
Abilities – Arm-Hand Steadiness,0.0,0.0
Abilities – Auditory Attention,0.0,0.0
Abilities – Category Flexibility,0.0,0.0
Abilities – Control Precision,0.0,0.0
Abilities – Deductive Reasoning,0.0,0.0
Abilities – Depth Perception,0.0,0.0
Abilities – Dynamic Flexibility,0.0,0.0
Abilities – Dynamic Strength,0.0,0.0
Abilities – Explosive Strength,0.0,0.0
Abilities – Extent Flexibility,0.0,0.0
Abilities – Far Vision,0.0,0.0
Abilities – Finger Dexterity,0.0,0.0
Abilities – Flexibility of Closure,0.0,0.0
Abilities – Fluency of Ideas,0.0,0.0
Abilities – Glare Sensitivity,0.0,0.0
Abilities – Gross Body Coordination,0.0,0.0
Abilities – Gross Body Equilibrium,0.0,0.0
Abilities – Hearing Sensitivity,0.0,0.0
Abilities – Inductive Reasoning,0.0,0.0
Abilities – Information Ordering,0.0,0.0
Abilities – Manual Dexterity,0.0,0.0
Abilities – Mathematical Reasoning,0.0,0.0
Abilities – Memorization,0.0,0.0
Abilities – Multilimb Coordination,0.0,0.0
Abilities – Near Vision,0.0,0.0
Abilities – Night Vision,0.0,0.0
Abilities – Number Facility,0.0,0.0
Abilities – Oral Comprehension,0.0,0.0
Abilities – Oral Expression,0.0,0.0
Abilities – Originality,0.0,0.0
Abilities – Perceptual Speed,0.0,0.0
Abilities – Peripheral Vision,0.0,0.0
Abilities – Problem Sensitivity,0.0,0.0
Abilities – Rate Control,0.0,0.0
Abilities – Reaction Time,0.0,0.0
Abilities – Response Orientation,0.0,0.0
Abilities – Selective Attention,0.0,0.0
Abilities – Sound Localization,0.0,0.0
Abilities – Spatial Orientation,0.0,0.0
Abilities – Speech Clarity,0.0,0.0
Abilities – Speech Recognition,0.0,0.0
Abilities – Speed of Closure,0.0,0.0
Abilities – Speed of Limb Movement,0.0,0.0
Abilities – Stamina,0.0,0.0
Abilities – Static Strength,0.0,0.0
Abilities – Time Sharing,0.0,0.0
Abilities – Trunk Strength,0.0,0.0
Abilities – Visual Color Discrimination,0.0,0.0
Abilities – Visualization,0.0,0.0
Abilities – Wrist-Finger Speed,0.0,0.0
Abilities – Written Comprehension,0.0,0.0
Abilities – Written Expression,0.0,0.0
Knowledge – Administration and Management,0.0,0.0
Knowledge – Administrative,0.0,0.0
Knowledge – Biology,0.0,0.0
Knowledge – Building and Construction,0.0,0.0
Knowledge – Chemistry,0.0,0.0
Knowledge – Communications and Media,0.0,0.0
Knowledge – Computers and Electronics,0.0,0.0
Knowledge – Customer and Personal Service,0.0,0.0
Knowledge – Design,0.0,0.0
Knowledge – Economics and Accounting,0.0,0.0
Knowledge – Education and Training,0.0,0.0
Knowledge – Engineering and Technology,0.0,0.0
Knowledge – English Language,0.0,0.0
Knowledge – Fine Arts,0.0,0.0
Knowledge – Food Production,0.0,0.0
Knowledge – Foreign Language,0.0,0.0
Knowledge – Geography,0.0,0.0
Knowledge – History and Archeology,0.0,0.0
Knowledge – Law and Government,0.0,0.0
Knowledge – Mathematics,0.0,0.0
Knowledge – Mechanical,0.0,0.0
Knowledge – Medicine and Dentistry,0.0,0.0
Knowledge – Personnel and Human Resources,0.0,0.0
Knowledge – Philosophy and Theology,0.0,0.0
Knowledge – Physics,0.0,0.0
Knowledge – Production and Processing,0.0,0.0
Knowledge – Psychology,0.0,0.0
Knowledge – Public Safety and Security,0.0,0.0
Knowledge – Sales and Marketing,0.0,0.0
Knowledge – Sociology and Anthropology,0.0,0.0
Knowledge – Telecommunications,0.0,0.0
Knowledge – Therapy and Counseling,0.0,0.0
Knowledge – Transportation,0.0,0.0
Skills – Active Learning,0.0,0.0
Skills – Active Listening,0.0,0.0
Skills – Complex Problem Solving,0.0,0.0
Skills – Coordination,0.0,0.0
Skills – Critical Thinking,0.0,0.0
Skills – Equipment Maintenance,0.0,0.0
Skills – Equipment Selection,0.0,0.0
Skills – Installation,0.0,0.0
Skills – Instructing,0.0,0.0
Skills – Judgment and Decision Making,0.0,0.0
Skills – Learning Strategies,0.0,0.0
Skills – Management of Financial Resources,0.0,0.0
Skills – Management of Material Resources,0.0,0.0
Skills – Management of Personnel Resources,0.0,0.0
Skills – Mathematics,0.0,0.0
Skills – Monitoring,0.0,0.0
Skills – Negotiation,0.0,0.0
Skills – Operation and Control,0.0,0.0
Skills – Operations Analysis,0.0,0.0
Skills – Operations Monitoring,0.0,0.0
Skills – Persuasion,0.0,0.0
Skills – Programming,0.0,0.0
Skills – Quality Control Analysis,0.0,0.0
Skills – Reading Comprehension,0.0,0.0
Skills – Repairing,0.0,0.0
Skills – Science,0.0,0.0
Skills – Service Orientation,0.0,0.0
Skills – Social Perceptiveness,0.0,0.0
Skills – Speaking,0.0,0.0
Skills – Systems Analysis,0.0,0.0
Skills – Systems Evaluation,0.0,0.0
Skills – Technology Design,0.0,0.0
Skills – Time Management,0.0,0.0
Skills – Troubleshooting,0.0,0.0
Skills – Writing,0.0,0.0
Work Activities – Analyzing Data or Information,0.0,0.0
Work Activities – Assisting and Caring for Others,0.0,0.0
Work Activities – Coaching and Developing Others,0.0,0.0
Work Activities – Communicating with People Outside the Organization,0.0,0.0
"Work Activities – Communicating with Supervisors, Peers, or Subordinates",0.0,0.0
Work Activities – Controlling Machines and Processes,0.0,0.0
Work Activities – Coordinating the Work and Activities of Others,0.0,0.0
Work Activities – Developing Objectives and Strategies,0.0,0.0
Work Activities – Developing and Building Teams,0.0,0.0
Work Activities – Documenting/Recording Information,0.0,0.0
"Work Activities – Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.0,0.0
Work Activities – Establishing and Maintaining Interpersonal Relationships,0.0,0.0
"Work Activities – Estimating the Quantifiable Characteristics of Products, Events, or Information",0.0,0.0
Work Activities – Evaluating Information to Determine Compliance with Standards,0.0,0.0
Work Activities – Getting Information,0.0,0.0
"Work Activities – Guiding, Directing, and Motivating Subordinates",0.0,0.0
Work Activities – Handling and Moving Objects,0.0,0.0
"Work Activities – Identifying Objects, Actions, and Events",0.0,0.0
"Work Activities – Inspecting Equipment, Structures, or Materials",0.0,0.0
Work Activities – Interpreting the Meaning of Information for Others,0.0,0.0
"Work Activities – Judging the Qualities of Objects, Services, or People",0.0,0.0
Work Activities – Making Decisions and Solving Problems,0.0,0.0
"Work Activities – Monitoring Processes, Materials, or Surroundings",0.0,0.0
Work Activities – Monitoring and Controlling Resources,0.0,0.0
"Work Activities – Operating Vehicles, Mechanized Devices, or Equipment",0.0,0.0
"Work Activities – Organizing, Planning, and Prioritizing Work",0.0,0.0
Work Activities – Performing Administrative Activities,0.0,0.0
Work Activities – Performing General Physical Activities,0.0,0.0
Work Activities – Performing for or Working Directly with the Public,0.0,0.0
Work Activities – Processing Information,0.0,0.0
Work Activities – Providing Consultation and Advice to Others,0.0,0.0
Work Activities – Repairing and Maintaining Electronic Equipment,0.0,0.0
Work Activities – Repairing and Maintaining Mechanical Equipment,0.0,0.0
Work Activities – Resolving Conflicts and Negotiating with Others,0.0,0.0
Work Activities – Scheduling Work and Activities,0.0,0.0
Work Activities – Selling or Influencing Others,0.0,0.0
Work Activities – Staffing Organizational Units,0.0,0.0
Work Activities – Thinking Creatively,0.0,0.0
Work Activities – Training and Teaching Others,0.0,0.0
Work Activities – Updating and Using Relevant Knowledge,0.0,0.0
Work Activities – Working with Computers,0.0,0.0
