soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
11-1011.00,0.09805704745441288,0.0,0.0,0.0,1120,1,1120,Geschäftsführer und Vorstände,1,134.88761828972696,137.1951616627503,1.7107154846984889,False
11-1011.03,0.1648105980120238,0.0,0.0,0.0,2133,1,2133,Umweltwissenschaftler,2,3.499424292972,4.195820269836831,19.90030126565172,False
11-2011.00,0.09984041111224931,0.0,0.0,0.0,2431,1,2431,Fachkräfte in Marketing und Werbung,2,43.93795628549201,43.92670158260029,-0.0256149895060899,False
11-2021.00,0.04094157450303583,0.0,0.0,0.0,1221,1,1221,Führungskräfte in Vertrieb und Marketing,1,52.72827724799202,55.21365268686552,4.713553274620107,False
11-2022.00,0.0,0.0,0.0,0.0,1221,1,1221,Führungskräfte in Vertrieb und Marketing,1,52.72827724799202,55.21365268686552,4.713553274620107,False
11-3012.00,0.039486142042475754,0.0,0.0,0.0,1349,1,1349,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,8.184198786407,8.565180039903229,4.65508308680129,False
11-3013.00,0.0,0.0,0.0,0.0,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False
11-3013.01,0.016198365445637027,0.0,0.0,0.0,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False
11-3031.00,0.1245025863824422,0.0,0.0,0.0,1211,1,1211,Führungskräfte im Bereich Finanzen,1,21.499894461505,19.925565280223204,-7.322497252721817,False
11-3031.01,0.30934409161554244,0.0,0.0,0.0,1211,1,1211,Führungskräfte im Bereich Finanzen,1,21.499894461505,19.925565280223204,-7.322497252721817,False
11-3031.03,0.3714833552485622,0.0,0.0,0.0,2412,1,2412,Finanz- und Anlageberater,2,19.897725421554,20.81871100519237,4.628597310126321,False
11-3051.00,0.0,0.0,0.0,0.0,1321,1,1321,Führungskräfte in der Produktion von Waren,1,34.40472682012501,33.7528023397626,-1.8948689340589904,False
11-3051.01,0.10505373627603708,0.0,0.0,0.0,1321,1,1321,Führungskräfte in der Produktion von Waren,1,34.40472682012501,33.7528023397626,-1.8948689340589904,False
11-3051.02,0.0,0.0,0.0,0.0,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False
11-3051.03,0.0,0.0,0.0,0.0,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False
