ch_isco_4digit,ch_isco_label,main_group,label_clean
1000,"Führungskräfte, onA",1,fuehrungskraefte ona
1100,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA",1,geschaeftsfuehrer vorstaende leitende verwaltungsbedienstete und angehoerige gesetzgebender koerperschaften ona
1110,"Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete, onA",1,angehoerige gesetzgebender koerperschaften und leitende verwaltungsbedienstete ona
1111,Angehörige gesetzgebender Körperschaften,1,angehoerige gesetzgebender koerperschaften
1112,Leitende Verwaltungsbedienstete,1,leitende verwaltungsbedienstete
1113,Traditionelle Dorf- und Stammeshäuptlinge,1,traditionelle dorf und stammeshaeuptlinge
1114,Leitende Bedienstete von Interessenorganisationen,1,leitende bedienstete von interessenorganisationen
1120,Geschäftsführer und Vorstände,1,geschaeftsfuehrer und vorstaende
1200,"Führungskräfte im kaufmännischen Bereich, onA",1,fuehrungskraefte im kaufmaennischen bereich ona
1210,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, onA",1,fuehrungskraefte in der betrieblichen administration und in unternehmensbezogenen dienstleistungen ona
1211,Führungskräfte im Bereich Finanzen,1,fuehrungskraefte im bereich finanzen
1212,Führungskräfte im Personalwesen,1,fuehrungskraefte im personalwesen
1213,Führungskräfte in Unternehmenspolitik und -planung,1,fuehrungskraefte in unternehmenspolitik und planung
1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,fuehrungskraefte in der betrieblichen administration und in unternehmensbezogenen dienstleistungen anderweitig nicht genannt
1220,"Führungskräfte in Vertrieb, Marketing und Entwicklung, onA",1,fuehrungskraefte in vertrieb marketing und entwicklung ona
1221,Führungskräfte in Vertrieb und Marketing,1,fuehrungskraefte in vertrieb und marketing
1222,Führungskräfte in Werbung und Öffentlichkeitsarbeit,1,fuehrungskraefte in werbung und oeffentlichkeitsarbeit
1223,Führungskräfte in Forschung und Entwicklung,1,fuehrungskraefte in forschung und entwicklung
1300,"Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen, onA",1,fuehrungskraefte in der produktion und bei spezialisierten dienstleistungen ona
1310,"Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei, onA",1,fuehrungskraefte in der produktion in land und forstwirtschaft und fischerei ona
1311,Führungskräfte in der Produktion in Land- und Forstwirtschaft,1,fuehrungskraefte in der produktion in land und forstwirtschaft
1312,Führungskräfte in der Produktion in Aquakultur und Fischerei,1,fuehrungskraefte in der produktion in aquakultur und fischerei
1320,"Führungskräfte in der Produktion von Waren, im Bergbau und im Bau sowie in der Logistik, onA",1,fuehrungskraefte in der produktion von waren im bergbau und im bau sowie in der logistik ona
1321,Führungskräfte in der Produktion von Waren,1,fuehrungskraefte in der produktion von waren
1322,Führungskräfte in der Produktion im Bergbau,1,fuehrungskraefte in der produktion im bergbau
1323,Führungskräfte in der Produktion im Bau,1,fuehrungskraefte in der produktion im bau
1324,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1,fuehrungskraefte in der beschaffung logistik und in verwandten bereichen
1330,Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,1,fuehrungskraefte in der erbringung von dienstleistungen im bereich informations und kommunikationstechnologie
1340,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, onA",1,fuehrungskraefte in der erbringung von spezialisierten dienstleistungen ona
1341,Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung,1,fuehrungskraefte in der erbringung von dienstleistungen der kinderbetreuung
1342,Führungskräfte in der Gesundheitsversorgung,1,fuehrungskraefte in der gesundheitsversorgung
1343,Führungskräfte in der Erbringung von Dienstleistungen für Menschen im Alter,1,fuehrungskraefte in der erbringung von dienstleistungen fuer menschen im alter
1344,Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen,1,fuehrungskraefte in der erbringung von dienstleistungen der sozialen institutionen
1345,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,1,fuehrungskraefte in der erbringung von dienstleistungen des bildungswesens
1346,Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen,1,fuehrungskraefte in der erbringung von finanz und versicherungsdienstleistungen
1349,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,fuehrungskraefte in der erbringung von spezialisierten dienstleistungen anderweitig nicht genannt
1400,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA",1,fuehrungskraefte in hotels und restaurants im handel und in der erbringung sonstiger dienstleistungen ona
1410,"Führungskräfte in Hotels und Restaurants, onA",1,fuehrungskraefte in hotels und restaurants ona
1411,Führungskräfte in Hotels,1,fuehrungskraefte in hotels
1412,Führungskräfte in Restaurants,1,fuehrungskraefte in restaurants
1420,Führungskräfte in Gross- und Einzelhandel,1,fuehrungskraefte in gross und einzelhandel
1430,"Führungskräfte in der Erbringung sonstiger Dienstleistungen, onA",1,fuehrungskraefte in der erbringung sonstiger dienstleistungen ona
1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,fuehrungskraefte in der erbringung von dienstleistungen im bereich sport erholung und kultur
1439,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",1,fuehrungskraefte in der erbringung von dienstleistungen anderweitig nicht genannt
2000,"Intellektuelle und wissenschaftliche Berufe, onA",2,intellektuelle und wissenschaftliche berufe ona
2100,"Naturwissenschaftler, Mathematiker und Ingenieure, onA",2,naturwissenschaftler mathematiker und ingenieure ona
2110,"Physiker, Chemiker, Geologen und verwandte Berufe, onA",2,physiker chemiker geologen und verwandte berufe ona
2111,Physiker und Astronomen,2,physiker und astronomen
2112,Meteorologen,2,meteorologen
2113,Chemiker,2,chemiker
2114,Geologen und Geophysiker,2,geologen und geophysiker
2120,"Mathematiker, Aktuare und Statistiker",2,mathematiker aktuare und statistiker
2130,"Biowissenschaftler, onA",2,biowissenschaftler ona
2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,biologen botaniker zoologen und verwandte berufe
2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",2,agrar forst und fischereiwissenschaftler und berater
2133,Umweltwissenschaftler,2,umweltwissenschaftler
2140,"Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation), onA",2,ingenieurwissenschaftler ohne elektrotechnik elektronik und telekommunikation ona
2141,Prozess- und Produktionsingenieure,2,prozess und produktionsingenieure
2142,Bauingenieure,2,bauingenieure
2143,Umweltschutzingenieure,2,umweltschutzingenieure
2144,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,maschinenbau mechatronik und systemtechnikingenieure
2145,Chemieingenieure,2,chemieingenieure
2146,"Bergbauingenieure, Metallurgen und verwandte Berufe",2,bergbauingenieure metallurgen und verwandte berufe
2149,"Ingenieure, anderweitig nicht genannt",2,ingenieure anderweitig nicht genannt
2150,"Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik, onA",2,ingenieure in den bereichen elektrotechnik elektronik und telekommunikationstechnik ona
2151,Ingenieure im Bereich Elektrotechnik,2,ingenieure im bereich elektrotechnik
2152,Ingenieure im Bereich Elektronik,2,ingenieure im bereich elektronik
2153,Ingenieure im Bereich Telekommunikationstechnik,2,ingenieure im bereich telekommunikationstechnik
2160,"Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer, onA",2,architekten raum stadt und verkehrsplaner vermessungsingenieure und designer ona
2161,Architekten,2,architekten
2162,Landschaftsarchitekten,2,landschaftsarchitekten
2163,Produkt- und Textildesigner,2,produkt und textildesigner
2164,"Raum-, Stadt- und Verkehrsplaner",2,raum stadt und verkehrsplaner
2165,Kartografen und Vermessungsingenieure,2,kartografen und vermessungsingenieure
2166,Grafik- und Multimediadesigner,2,grafik und multimediadesigner
2200,"Spezialisten in Gesundheitsberufen, onA",2,spezialisten in gesundheitsberufen ona
2210,"Ärzte, onA",2,aerzte ona
2211,Allgemeinärzte,2,allgemeinaerzte
2212,Fachärzte,2,fachaerzte
2220,"Pflegedienstleitern, Pflegefachkräfte und Geburtshilfespezialisten, onA",2,pflegedienstleitern pflegefachkraefte und geburtshilfespezialisten ona
2221,Pflegedienstleiter und Pflegefachkräfte,2,pflegedienstleiter und pflegefachkraefte
2222,Geburtshilfespezialisten,2,geburtshilfespezialisten
2230,Spezialisten der traditionellen und komplementären Medizin,2,spezialisten der traditionellen und komplementaeren medizin
2240,Feldscher und vergleichbare paramedizinische Praktiker,2,feldscher und vergleichbare paramedizinische praktiker
2250,Tierärzte,2,tieraerzte
2260,"Sonstige Spezialisten in Gesundheitsberufen, onA",2,sonstige spezialisten in gesundheitsberufen ona
2261,Zahnärzte,2,zahnaerzte
2262,Apotheker,2,apotheker
2263,Spezialisten in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene,2,spezialisten in den bereichen umwelt und arbeitsmedizin sowie hygiene
2264,Physiotherapeuten,2,physiotherapeuten
2265,Diätologen und Ernährungsberater,2,diaetologen und ernaehrungsberater
2266,Audiologen und Sprachtherapeuten,2,audiologen und sprachtherapeuten
2267,Optometristen und Orthoptisten,2,optometristen und orthoptisten
2269,"Spezialisten in Gesundheitsberufen, anderweitig nicht genannt",2,spezialisten in gesundheitsberufen anderweitig nicht genannt
2300,"Lehrkräfte, onA",2,lehrkraefte ona
2310,Universitäts- und Hochschullehrer,2,universitaets und hochschullehrer
2320,Lehrkräfte im Bereich Berufsbildung,2,lehrkraefte im bereich berufsbildung
2330,Lehrkräfte im Sekundarbereich,2,lehrkraefte im sekundarbereich
2340,"Lehrkräfte im Primar- und Vorschulbereich, onA",2,lehrkraefte im primar und vorschulbereich ona
2341,Lehrkräfte im Primarbereich,2,lehrkraefte im primarbereich
2342,Lehrkräfte und Erzieher im Vorschulbereich,2,lehrkraefte und erzieher im vorschulbereich
2350,"Sonstige Lehrkräfte, onA",2,sonstige lehrkraefte ona
2351,Pädagogik- und Didaktikspezialisten,2,paedagogik und didaktikspezialisten
2352,Lehrkräfte im Bereich Sonderpädagogik,2,lehrkraefte im bereich sonderpaedagogik
2353,Sprachlehrer,2,sprachlehrer
2354,Musiklehrer,2,musiklehrer
2355,Kunstlehrer,2,kunstlehrer
2356,Ausbilder im Bereich Informationstechnologie,2,ausbilder im bereich informationstechnologie
2359,"Lehrkräfte, anderweitig nicht genannt",2,lehrkraefte anderweitig nicht genannt
2400,"Betriebswirte und vergleichbare Spezialisten, onA",2,betriebswirte und vergleichbare spezialisten ona
2410,"Spezialisten im Bereich Finanzen, onA",2,spezialisten im bereich finanzen ona
2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,wirtschaftspruefer steuerberater und verwandte berufe
2412,Finanz- und Anlageberater,2,finanz und anlageberater
2413,Finanzanalysten,2,finanzanalysten
2420,"Spezialisten der betrieblichen Verwaltung, onA",2,spezialisten der betrieblichen verwaltung ona
2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,spezialisten im bereich management und organisationsanalyse
2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,spezialisten in der strategischen planung in politik und wirtschaft
