element_name,mu_i,exposure_type
Skills – Reading Comprehension,0.85,substitution
Skills – Writing,0.88,substitution
Skills – Active Listening,0.55,augmentation
Skills – Speaking,0.45,augmentation
Skills – Mathematics,0.8,substitution
Skills – Science,0.55,augmentation
Skills – Critical Thinking,0.82,substitution
Skills – Active Learning,0.6,augmentation
Skills – Learning Strategies,0.5,augmentation
Skills – Monitoring,0.45,augmentation
Skills – Social Perceptiveness,0.3,augmentation
Skills – Coordination,0.35,augmentation
Skills – Persuasion,0.4,augmentation
Skills – Negotiation,0.38,augmentation
Skills – Instructing,0.42,augmentation
Skills – Service Orientation,0.35,augmentation
Skills – Complex Problem Solving,0.8,substitution
Skills – Operations Analysis,0.7,augmentation
Skills – Technology Design,0.55,augmentation
Skills – Equipment Selection,0.2,negligible
Skills – Installation,0.1,negligible
Skills – Programming,0.9,substitution
Skills – Quality Control Analysis,0.5,augmentation
Skills – Operations Monitoring,0.35,augmentation
Skills – Operation and Control,0.15,negligible
Skills – Equipment Maintenance,0.1,negligible
Skills – Troubleshooting,0.45,augmentation
Skills – Repairing,0.1,negligible
Skills – Systems Analysis,0.72,substitution
Skills – Systems Evaluation,0.68,augmentation
Skills – Time Management,0.45,augmentation
Skills – Management of Financial Resources,0.55,augmentation
Skills – Management of Material Resources,0.25,negligible
Skills – Management of Personnel Resources,0.4,augmentation
Work Activities – Getting Information,0.8,substitution
Work Activities – Processing Information,0.85,substitution
Work Activities – Analyzing Data or Information,0.82,substitution
Work Activities – Making Decisions and Solving Problems,0.75,substitution
Work Activities – Thinking Creatively,0.7,augmentation
Work Activities – Updating and Using Relevant Knowledge,0.72,substitution
"Work Activities – Communicating with Supervisors, Peers, or Subordinates",0.4,augmentation
Work Activities – Communicating with People Outside the Organization,0.38,augmentation
Work Activities – Establishing and Maintaining Interpersonal Relationships,0.25,negligible
Work Activities – Developing Objectives and Strategies,0.65,augmentation
"Work Activities – Organizing, Planning, and Prioritizing Work",0.55,augmentation
Work Activities – Performing Administrative Activities,0.75,substitution
Work Activities – Documenting/Recording Information,0.8,substitution
Work Activities – Interpreting the Meaning of Information for Others,0.72,substitution
Work Activities – Provide Consultation and Advice to Others,0.6,augmentation
Knowledge – English Language,0.85,substitution
Knowledge – Mathematics,0.8,substitution
Knowledge – Computers and Electronics,0.82,substitution
Knowledge – Administration and Management,0.6,augmentation
Knowledge – Economics and Accounting,0.7,augmentation
Knowledge – Law and Government,0.65,augmentation
Knowledge – Medicine and Dentistry,0.45,augmentation
Knowledge – Education and Training,0.55,augmentation
