soc_code,isco_4digit
11-1011.00,1120
11-1011.03,2133
11-1021.00,1120
11-2011.00,2431
11-2021.00,1221
11-2022.00,1221
11-2033.00,2432
11-3012.00,1349
11-3013.00,1219
11-3013.01,1219
11-3021.00,1330
11-3031.00,1211
11-3031.01,1211
11-3031.03,2412
11-3051.00,1321
11-3051.01,1321
11-3051.02,1219
11-3051.03,1219
11-3051.04,1219
11-3051.06,1219
11-3061.00,3323
11-3071.00,1324
11-3071.04,1324
11-3111.00,1212
11-3121.00,1212
11-3131.00,2424
11-9013.00,1311
11-9021.00,1323
11-9031.00,1341
11-9032.00,1345
11-9033.00,1345
11-9041.00,1349
11-9041.01,1223
11-9051.00,1412
11-9071.00,1431
11-9072.00,1431
11-9081.00,1411
11-9111.00,1342
11-9121.00,1223
11-9121.01,1223
11-9121.02,2133
11-9131.00,1349
11-9141.00,3334
11-9151.00,1344
11-9161.00,1349
11-9179.01,1431
11-9179.02,1431
11-9199.01,2422
11-9199.02,2619
11-9199.08,1219
11-9199.09,2149
11-9199.10,1219
11-9199.11,2143
13-1011.00,2654
13-1021.00,3323
13-1022.00,3323
13-1023.00,3323
13-1031.00,3315
13-1032.00,3315
13-1041.00,3359
13-1041.01,3257
13-1041.03,2422
13-1041.04,3112
13-1041.06,2619
13-1041.07,2619
13-1041.08,3331
13-1051.00,2421
13-1071.00,2423
13-1074.00,3333
13-1075.00,2423
13-1081.00,1324
13-1081.01,1324
13-1081.02,1324
13-1111.00,2422
13-1121.00,3332
13-1131.00,2432
13-1141.00,2423
13-1151.00,2424
13-1161.00,2431
13-1161.01,2431
13-1199.04,2529
13-1199.05,2133
13-1199.06,2431
13-1199.07,2529
13-2011.00,2411
13-2022.00,3315
13-2023.00,3315
13-2031.00,2411
13-2041.00,3312
13-2052.00,2412
13-2053.00,3321
13-2061.00,2411
13-2071.00,3312
13-2072.00,3312
13-2081.00,2411
13-2082.00,2411
13-2099.01,2413
13-2099.04,2411
15-1211.00,2511
15-1211.01,3252
15-1212.00,2529
15-1221.00,2511
15-1231.00,2522
15-1232.00,3512
15-1241.00,2523
15-1241.01,2153
15-1242.00,2521
15-1243.00,2521
15-1243.01,2521
15-1244.00,2522
15-1251.00,2514
15-1252.00,2512
15-1253.00,2519
15-1254.00,2513
15-1255.01,2166
15-1299.01,2521
15-1299.02,2165
15-1299.03,2621
15-1299.05,2529
15-1299.08,2511
15-1299.09,1330
15-2011.00,3321
15-2021.00,2120
15-2031.00,2421
15-2041.00,2120
15-2041.01,2131
15-2051.01,2421
15-2051.02,3252
15-2099.01,3141
17-1011.00,2161
17-1012.00,2162
17-1021.00,2165
17-1022.00,2165
17-1022.01,2165
17-2011.00,3115
17-2021.00,2132
17-2031.00,2131
17-2041.00,2113
17-2051.00,2142
17-2051.01,2142
17-2051.02,2142
17-2061.00,2152
17-2071.00,2151
17-2072.00,2152
17-2072.01,2152
17-2081.00,2133
17-2111.00,2149
17-2111.02,2149
17-2112.00,2141
17-2112.01,2149
17-2112.02,2149
17-2112.03,2141
17-2121.00,2144
17-2131.00,2149
17-2141.00,2144
17-2141.01,2149
