soc_code,isco_4digit,mapping_stage
25-1011.00,2310,1
13-1023.00,3323,1
19-2032.00,2146,1
45-2041.00,3257,1
41-9012.00,2651,1
11-3121.00,1212,1
19-4031.00,2113,1
17-3024.00,3115,1
49-9064.00,3111,1
25-1192.00,2310,1
25-2012.00,2342,1
15-1251.00,2514,1
13-1199.06,2431,1
11-9199.10,1219,1
25-1113.00,2310,1
45-2091.00,2144,1
33-3041.00,1112,1
29-1241.00,2212,1
21-1023.00,2635,1
47-2082.00,3123,1
21-2021.00,2636,1
11-3051.04,1219,1
27-2011.00,2659,1
51-8091.00,3133,1
31-9011.00,3255,1
19-4051.02,3111,1
13-1041.03,2422,1
29-1151.00,3259,1
29-2091.00,3214,1
11-9032.00,1345,1
19-1042.00,2131,1
27-4014.00,3521,1
23-1022.00,2612,1
43-9081.00,1349,1
53-5022.00,3152,1
19-3011.01,2631,1
51-4051.00,3135,1
27-4032.00,2654,1
41-2012.00,1431,1
21-1021.00,2635,1
27-2041.00,2652,1
29-1129.02,2269,1
17-3025.00,2143,1
19-4051.00,3111,1
43-3021.00,3313,1
29-1126.00,3259,1
29-1081.00,2269,1
51-8093.00,3134,1
17-2199.07,2149,1
33-9092.00,3422,1
49-9021.00,3115,1
51-9195.05,2651,1
29-1022.00,2261,1
25-1123.00,2310,1
35-2012.00,3434,1
29-2053.00,2269,1
15-1241.00,2523,1
15-1255.01,2166,1
51-1011.00,3122,1
29-9092.00,2131,1
49-9099.01,3131,1
25-1054.00,2310,1
13-2071.00,3312,1
11-3012.00,1349,1
13-2052.00,2412,1
43-3061.00,3323,1
29-2051.00,3259,1
43-2011.00,3133,1
29-1213.00,2212,1
29-1131.00,2250,1
19-3092.00,2632,1
17-2051.02,2142,1
11-9031.00,1341,1
11-9151.00,1344,1
11-9141.00,3334,1
13-1111.00,2422,1
17-2199.11,2149,1
37-1011.00,1219,1
49-3031.00,3115,1
13-1051.00,2421,1
11-3031.00,1211,1
25-4031.00,2621,1
47-2031.00,3123,1
17-3026.01,3141,1
25-1066.00,2310,1
51-4061.00,2163,1
29-2035.00,2269,1
25-2051.00,2352,1
43-4071.00,2621,1
17-3026.00,3119,1
53-2012.00,3153,1
33-2021.00,3112,1
13-1199.07,2529,1
19-3039.02,2634,1
51-9162.00,2144,1
43-4161.00,2423,1
29-1299.01,2230,1
33-9093.00,3351,1
13-1161.01,2431,1
11-3111.00,1212,1
11-3051.01,1321,1
31-2011.00,2269,1
47-2042.00,3123,1
27-2012.03,2654,1
25-1121.00,2310,1
53-7073.00,3134,1
27-1025.00,3432,1
29-2057.00,2267,1
23-1021.00,2612,1
17-2041.00,2113,1
29-2033.00,2269,1
27-1011.00,2166,1
11-9051.00,1412,1
25-4022.00,2621,1
27-3092.00,2643,1
11-3013.01,1219,1
21-1022.00,2635,1
11-3071.04,1324,1
19-3051.00,2164,1
51-2041.00,3123,1
53-4022.00,3112,1
27-3043.05,2641,1
47-4051.00,3112,1
19-2031.00,2113,1
31-9096.00,3240,1
13-2072.00,3312,1
25-2059.01,3422,1
41-9091.00,2432,1
29-1215.00,2635,1
19-1011.00,2131,1
45-4021.00,3143,1
53-2022.00,3154,1
17-2131.00,2149,1
13-1131.00,2432,1
27-3042.00,2641,1
25-1062.00,2310,1
13-1074.00,3333,1
29-1221.00,2212,1
19-1022.00,2131,1
25-1043.00,2310,1
19-4061.00,2632,1
13-2041.00,3312,1
47-5032.00,2146,1
15-1299.03,2621,1
15-2041.01,2131,1
47-2044.00,3123,1
19-4092.00,2632,1
11-1011.00,1120,1
53-6051.00,3359,1
27-4011.00,3521,1
39-3021.00,3521,1
29-1229.03,2212,1
25-1063.00,2310,1
15-1299.02,2165,1
19-4012.01,2132,1
41-1012.00,1420,1
31-1122.00,3412,1
25-1053.00,2310,1
41-1011.00,1420,1
17-2072.01,2152,1
39-9032.00,3423,1
29-1214.00,3259,1
51-2061.00,3113,1
41-2022.00,2433,1
25-1032.00,2320,1
35-2013.00,3434,1
39-5092.00,3435,1
11-9179.02,1431,1
23-1023.00,2612,1
19-1031.02,2133,1
53-7121.00,3133,1
47-4061.00,3112,1
15-1243.00,2521,1
35-1011.00,3434,1
43-1011.00,3341,1
27-2022.00,3422,1
15-1212.00,2529,1
29-1071.00,3256,1
49-9094.00,2144,1
43-4031.00,3411,1
17-3027.00,3115,1
25-2031.00,2330,1
33-9099.02,3411,1
51-9195.04,2651,1
17-2112.01,2149,1
15-2041.00,2120,1
51-8011.00,3131,1
49-2096.00,3114,1
19-1012.00,2145,1
31-2021.00,3255,1
49-9043.00,3114,1
53-6011.00,3123,1
29-1021.00,2261,1
25-9042.00,2352,1
51-6061.00,2113,1
