ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,main_group
1112,573.5825,663.175,869.9775,874.085,776.1825,739.145,-10.781313309826974,51.67434501575623,-62.4556583255832,False,1
1120,1294.0425,1487.8175,1781.9375,1687.7425,1477.3899999999999,1530.7875,-17.090807056925406,37.70316662706209,-54.793973683987495,False,1
1200,152.83499999999998,186.14749999999998,252.52249999999998,231.5825,210.7175,171.73,-16.554960449068886,65.22557005921419,-81.78053050828308,False,1
1210,141.875,220.16750000000002,282.54,237.77,189.7075,187.355,-32.856409711899204,99.14713656387667,-132.00354627577588,False,1
1211,281.0025,331.52,417.2,423.4425,364.0325,326.9375,-12.743887823585801,48.46842999617441,-61.21231781976021,False,1
1212,238.95999999999998,298.03,410.41499999999996,391.28999999999996,322.48,317.5625,-21.42587381065506,71.75050217609642,-93.17637598675148,False,1
1213,916.1275,1225.135,1573.91,1175.075,864.81,765.885,-45.053402036965274,71.80032255335638,-116.85372459032166,False,1
1219,5563.2625,7308.2075,9107.95,8455.7825,7500.12,6819.615,-17.653039377686536,63.71598499980904,-81.36902437749558,False,1
1221,956.7425000000001,1201.9725,1484.48,1277.1475,1131.415,1034.705,-23.783749191636133,55.15982618102571,-78.94357537266184,False,1
1222,107.67,120.5375,179.95,163.715,123.8875,104.91499999999999,-31.154487357599326,67.13104857434753,-98.28553593194685,False,1
1223,198.25,267.28999999999996,269.52250000000004,240.685,187.955,192.85750000000002,-30.26370711165117,35.95081967213117,-66.21452678378233,False,1
1321,376.795,465.895,552.37,511.5875,438.97,434.0525,-20.529717399569126,46.59695590440425,-67.12667330397338,False,1
1323,180.2475,193.7075,227.2075,236.375,258.5425,278.6275,13.79135811978038,26.053065923244432,-12.261707803464052,False,1
1324,338.8425,444.6375,570.3175,501.0475,409.1475,409.72249999999997,-28.259697449227843,68.31344946398403,-96.57314691321187,False,1
1330,1031.06,1566.0425,2320.9775,1412.935,836.9575,731.915,-63.939439309515066,125.10595891606697,-189.04539822558203,False,1
