ch_isco_4digit,year,quarter,count_ads
1112,2020,1,610.33
1112,2020,2,516.58
1112,2020,3,572.0
1112,2020,4,595.42
1112,2021,1,610.92
1112,2021,2,648.93
1112,2021,3,657.82
1112,2021,4,735.03
1112,2022,1,841.95
1112,2022,2,831.37
1112,2022,3,853.67
1112,2022,4,952.92
1112,2023,1,983.17
1112,2023,2,836.42
1112,2023,3,820.92
1112,2023,4,855.83
1112,2024,1,821.92
1112,2024,2,789.42
1112,2024,3,719.95
1112,2024,4,773.44
1112,2025,1,751.04
1112,2025,2,682.5
1112,2025,3,716.04
1112,2025,4,807.0
1120,2020,1,1530.5
1120,2020,2,1183.33
1120,2020,3,1245.42
1120,2020,4,1216.92
1120,2021,1,1341.0
1120,2021,2,1361.85
1120,2021,3,1555.42
1120,2021,4,1693.0
1120,2022,1,1813.28
1120,2022,2,1936.48
1120,2022,3,1706.87
1120,2022,4,1671.12
1120,2023,1,1819.45
1120,2023,2,1698.62
1120,2023,3,1668.95
1120,2023,4,1563.95
1120,2024,1,1545.75
1120,2024,2,1461.83
1120,2024,3,1414.87
1120,2024,4,1487.11
1120,2025,1,1555.32
1120,2025,2,1509.16
1120,2025,3,1468.24
1120,2025,4,1590.43
1200,2020,1,180.5
1200,2020,2,123.0
1200,2020,3,138.92
1200,2020,4,168.92
1200,2021,1,170.42
1200,2021,2,165.67
1200,2021,3,182.67
1200,2021,4,225.83
1200,2022,1,246.17
1200,2022,2,269.67
1200,2022,3,246.0
1200,2022,4,248.25
1200,2023,1,245.33
1200,2023,2,239.0
1200,2023,3,236.17
1200,2023,4,205.83
1200,2024,1,232.2
1200,2024,2,233.67
1200,2024,3,192.17
1200,2024,4,184.83
1200,2025,1,199.92
1200,2025,2,170.33
1200,2025,3,167.67
1200,2025,4,149.0
1210,2020,1,152.17
1210,2020,2,111.0
1210,2020,3,119.0
1210,2020,4,185.33
1210,2021,1,201.33
1210,2021,2,216.67
1210,2021,3,196.5
1210,2021,4,266.17
1210,2022,1,300.33
1210,2022,2,307.17
1210,2022,3,289.33
1210,2022,4,233.33
1210,2023,1,300.0
1210,2023,2,232.33
1210,2023,3,234.17
1210,2023,4,184.58
