year,quarter,ch_isco_id,ch_isco_name,count_ads
2020,1,01100,Offiziere in regulären Streitkräften,13.83
2020,1,02100,Unteroffiziere in regulären Streitkräften,0.5
2020,1,03100,Angehörige der regulären Streitkräfte in sonstigen Rängen,2
2020,1,11110,Angehörige gesetzgebender Körperschaften,14.17
2020,1,11120,Leitende Verwaltungsbedienstete,610.33
2020,1,11140,Leitende Bedienstete von Interessenorganisationen,9
2020,1,11200,Geschäftsführer und Vorstände,1530.5
2020,1,12000,"Führungskräfte im kaufmännischen Bereich, onA",180.5
2020,1,12100,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, onA",152.17
2020,1,12110,Führungskräfte im Bereich Finanzen,294.84
2020,1,12120,Führungskräfte im Personalwesen,290
2020,1,12130,Führungskräfte in Unternehmenspolitik und -planung,1190.67
2020,1,12190,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",6637.78
2020,1,12210,"Führungskräfte in Vertrieb und Marketing, onA",1065.26
2020,1,12211,Führungskräfte in Vertrieb,19.59
2020,1,12212,Führungskräfte in Marketing,87.59
2020,1,12220,Führungskräfte in Werbung und Öffentlichkeitsarbeit,129.42
2020,1,12230,Führungskräfte in Forschung und Entwicklung,254.67
2020,1,13110,Führungskräfte in der Produktion in Land- und Forstwirtschaft,33.83
2020,1,13210,Führungskräfte in der Produktion von Waren,399.26
2020,1,13230,"Führungskräfte in der Produktion im Bau, onA",188
2020,1,13240,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",437.02
2020,1,13300,Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,1211.08
2020,1,13410,Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung,55.83
2020,1,13420,Führungskräfte in der Gesundheitsversorgung,475.35
2020,1,13430,Führungskräfte in der Erbringung von Dienstleistungen für Menschen im Alter,37
2020,1,13440,Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen,19
2020,1,13450,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,271.33
2020,1,13460,"Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen, onA",143.67
2020,1,13461,Führungskräfte in der Erbringung von Finanz- und Versicherungsdientleistungen,11.5
2020,1,13490,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",397.27
2020,1,14000,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA",531.5
2020,1,14110,Führungskräfte in Hotels,44.5
2020,1,14120,Führungskräfte in Restaurants,243.01
2020,1,14200,Führungskräfte in Gross- und Einzelhandel,156.5
2020,1,14310,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",10.18
2020,1,14390,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",170.5
2020,1,20000,"Intellektuelle und wissenschaftliche Berufe, onA",1387.5
2020,1,21000,"Naturwissenschaftler, Mathematiker und Ingenieure, onA",9.75
2020,1,21110,Physiker und Astronomen,72.08
2020,1,21120,Meteorologen,5
2020,1,21130,Chemiker,108.67
2020,1,21140,Geologen und Geophysiker,21
2020,1,21200,"Mathematiker, Aktuare und Statistiker",166.87
2020,1,21300,"Biowissenschaftler, onA",203.67
2020,1,21310,"Biologen, Botaniker, Zoologen und verwandte Berufe",66.2
